Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score
Crimini Mushrooms,Good Source of Selenium,"1 cup, sliced",Europe/North America,19,2.9,0.7,2.1,885
Cranberries,High in Proanthocyanidins,"1 cup, whole",North America,46,0.4,3.6,13.3,9584
Tahini,Good Source of Calcium,1 tbsp,Middle East,89,2.6,1.4,0,276
Cinnamon,May Help Lower Blood Sugar,"1 tsp, ground",Sri Lanka,6,0.1,1.4,0.1,131420
Miso,Rich in Probiotics,1 tbsp,Japan,34,2.2,0.8,0.1,1125
Mustard Greens,High in Vitamin K,"1 cup, chopped",India,15,1.6,1.8,39.3,3024
Celery,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,16,0.7,1.6,3.1,670
Endive,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,8,0.5,1.6,2.1,1052
Kohlrabi,Good Source of Vitamin C,"1 cup, sliced",Northern Europe,36,2.3,4.9,83.7,944
Natto,High in Vitamin K2,1/4 cup,Japan,100,8.4,2.8,13,6680
Sauerkraut,Rich in Probiotics,1/2 cup,China,13,0.7,2.9,14.7,705
Tempeh,High in Protein and Probiotics,3 oz,Indonesia,162,17,3.5,0,1800
Swiss Chard,High in Vitamins A and K,"1 cup, chopped",Mediterranean Region,7,0.6,0.6,10.8,1770
Nutritional Yeast,Good Source of B Vitamins,1 tbsp,Worldwide,20,3,1,0,790
Pomelo,High in Vitamin C,"1 cup, sections",Southeast Asia,72,1.4,2.4,115.3,1548
Radicchio,"Low in Calories, High in Vitamin K","1 cup, shredded",Italy,9,0.6,0.4,2.6,1016
Jicama,Good Source of Vitamin C,"1 cup, sliced",Mexico,46,0.9,6.4,20.2,406
Wakame Seaweed,High in Fucoxanthin,"1 cup, raw",Japan,5,0.3,0.4,3,2115
Dragon Fruit,Good Source of Antioxidants,"1 cup, cubed",Central/South America,136,2.9,7,9,2551
