,district,Seat,Constituency_Title,Candidate_Name,Part,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
32,Swat,Swat-Ill,NA-4,Ibrahim,Allah-o-Akbar Tehreek,904,0,0,0,0,39.22 %
33,Swat,Swat-Ill,NA-4,Muhammad Raza Khan,Tehreek-e-Labbaik Pakistan,1579,0,0,0,0,39.22 %
34,Swat,Swat-Ill,NA-4,Qamar Zaman,Pakistan Peoples Party Parliamentarians,12328,0,0,0,0,39.22 %
35,Swat,Swat-Ill,NA-4,Muhammad Mosa Khan,Independent,251,0,0,0,0,39.22 %
36,Swat,Swat-Ill,NA-4,Khurshaid Ali,Pashtoonkhwa Milli Awami Party,1464,0,0,0,0,39.22 %
37,Swat,Swat-Ill,NA-4,Muhammad Salim Khan,Awami National Party,30975,0,0,0,0,39.22 %
38,Swat,Swat-Ill,NA-4,Shahzad,Independent,532,0,0,0,0,39.22 %
39,Swat,Swat-Ill,NA-4,Qari Mahmood,Muttahida Majlis-e-Amal Pakistan,17542,0,0,0,0,39.22 %
40,Upper,Upper,NA-5,SAHIBZADA SIBGHATULLAH,Pakistan Tehreek-e-Insaf,66545,207664,8256,215920,447414,48.26 %
41,Upper,Upper,NA-5,HANIF ULLAH KHAN,Independent,1241,0,0,0,0,48.26 %
42,Upper,Upper,NA-5,IMRAN KHAN,Awami National Party,8529,0,0,0,0,48.26 %
43,Upper,Upper,NA-5,INAYATUL HAQ,Pak Sarzameen Party,371,0,0,0,0,48.26 %
44,Upper,Upper,NA-5,MUHAMMAD NISAR KHAN,Pakistan Muslim League (N),14462,0,0,0,0,48.26 %
45,Upper,Upper,NA-5,NAJMUDDIN KHAN,Pakistan Peoples Party Parliamentarians,53967,0,0,0,0,48.26 %
46,Upper,Upper,NA-5,RIAZULLAH,Independent,2861,0,0,0,0,48.26 %
47,Upper,Upper,NA-5,SAHIBZADA TARIQULLAH,Muttahida Majlis-e-Amal Pakistan,57657,0,0,0,0,48.26 %
48,Upper,Upper,NA-5,SUBHAN ALI,All Pakistan Muslim League,1910,0,0,0,0,48.26 %
49,Upper,Upper,NA-5,UMAR ZAIB KHAN,Pakistan Muslim League,121,0,0,0,0,48.26 %
50,Lower,Lower,NA-6,Mehboob Shah,Pakistan Tehreek-e-Insaf,63440,166820,4955,171775,351245,48.9 %
51,Lower,Lower,NA-6,Ahmad Hassan,Pakistan Peoples Party Parliamentarians,27774,0,0,0,0,48.9 %
52,Lower,Lower,NA-6,Amjad Ali,Allah-o-Akbar Tehreek,818,0,0,0,0,48.9 %
53,Lower,Lower,NA-6,Asad Ullah,Muttahida Majlis-e-Amal Pakistan,36665,0,0,0,0,48.9 %
54,Lower,Lower,NA-6,Habib Ullah,All Pakistan Muslim League,675,0,0,0,0,48.9 %
55,Lower,Lower,NA-6,Ihsan Ullah,Tehreek-e-Labbaik Pakistan,3166,0,0,0,0,48.9 %
56,Lower,Lower,NA-6,Javed Akhtar,Pakistan Muslim League (N),3600,0,0,0,0,48.9 %
57,Lower,Lower,NA-6,Muhammad Zahid Khan,Awami National Party,30682,0,0,0,0,48.9 %
58,Lower,Lower,NA-7,Muhammad Bashir Khan,Pakistan Tehreek-e-Insaf,63017,141723,4455,146178,330592,44.22 %
59,Lower,Lower,NA-7,Abdul Ghafar Khan,All Pakistan Muslim League,305,0,0,0,0,44.22 %
60,Lower,Lower,NA-7,Mubarak Jan,Independent,185,0,0,0,0,44.22 %
61,Lower,Lower,NA-7,Muhammad Khalid,Allah-o-Akbar Tehreek,1313,0,0,0,0,44.22 %
62,Lower,Lower,NA-7,Nazir Khan,Awami National Party,19543,0,0,0,0,44.22 %
63,Lower,Lower,NA-7,Siraj Ul Haq,Muttahida Majlis-e-Amal Pakistan,46040,0,0,0,0,44.22 %
64,Lower,Lower,NA-7,Sobia Shahid,Pakistan Muslim League (N),1256,0,0,0,0,44.22 %
65,Lower,Lower,NA-7,Syed Shahid Ahmad Jan,Pakistan Peoples Party Parliamentarians,10064,0,0,0,0,44.22 %
66,Malakand,Malakand,NA-8,Junaid Akbar,Pakistan Tehreek-e-Insaf,81310,180838,5591,186429,386449,48.24 %
67,Malakand,Malakand,NA-8,Alamgir,Independent,400,0,0,0,0,48.24 %
68,Malakand,Malakand,NA-8,Amir Nawab Khan,Pakistan Muslim League (N),3292,0,0,0,0,48.24 %
69,Malakand,Malakand,NA-8,Bilawal Bhutto Zardari,Pakistan Peoples Party Parliamentarians,43724,0,0,0,0,48.24 %
70,Malakand,Malakand,NA-8,Fazal Muhammad,Independent,565,0,0,0,0,48.24 %
71,Malakand,Malakand,NA-8,Gul Naseeb Khan,Muttahida Majlis-e-Amal Pakistan,31739,0,0,0,0,48.24 %
72,Malakand,Malakand,NA-8,Hussain Khan,Independent,195,0,0,0,0,48.24 %
73,Malakand,Malakand,NA-8,Inam Ullah Khan,Awami National Party,11406,0,0,0,0,48.24 %
74,Malakand,Malakand,NA-8,Mian Gul Kurram,Independent,3836,0,0,0,0,48.24 %
75,Malakand,Malakand,NA-8,Muhammad Khan,Independent,1986,0,0,0,0,48.24 %
76,Malakand,Malakand,NA-8,Shams Ul Haq,Independent,985,0,0,0,0,48.24 %
77,Malakand,Malakand,NA-8,Taj Badshah,All Pakistan Muslim League,244,0,0,0,0,48.24 %
78,Malakand,Malakand,NA-8,Zafar Yab Khan,Qaumi Watan Party,1156,0,0,0,0,48.24 %
79,Buner,Buner,NA-9,SHER AKBAR KHAN,Pakistan Tehreek-e-Insaf,58037,173336,7632,180968,445474,40.62 %
80,Buner,Buner,NA-9,ABDUR RAUF,Awami National Party,38015,0,0,0,0,40.62 %
81,Buner,Buner,NA-9,FANOOS GUJJAR,Awami Workers Party,11729,0,0,0,0,40.62 %
82,Buner,Buner,NA-9,ISTIQBAL KHAN,Muttahida Majlis-e-Amal Pakistan,23354,0,0,0,0,40.62 %
83,Buner,Buner,NA-9,KAMRAN KHAN,Pakistan Muslim League (N),38358,0,0,0,0,40.62 %
84,Buner,Buner,NA-9,MIAN MOEEN UD DIN,Independent,3297,0,0,0,0,40.62 %
85,Buner,Buner,NA-9,SIR MIR KHAN,All Pakistan Muslim League,546,0,0,0,0,40.62 %
86,Shangla,Shangla,NA-10,Ibadullah Khan,Pakistan Muslim League (N),34070,123670,4632,128302,374343,34.27 %
87,Shangla,Shangla,NA-10,Amir Sultan,Muttahida Majlis-e-Amal Pakistan,20800,0,0,0,0,34.27 %
88,Shangla,Shangla,NA-10,Bakht Nasib Khan,Awami Workers Party,1200,0,0,0,0,34.27 %
89,Shangla,Shangla,NA-10,Hamid Iqbal Khan,Pakistan Peoples Party Parliamentarians,5642,0,0,0,0,34.27 %
90,Shangla,Shangla,NA-10,Praviz Ahmad,Independent,1093,0,0,0,0,34.27 %
91,Shangla,Shangla,NA-10,Sadeed ur Rahman,Awami National Party,32665,0,0,0,0,34.27 %
92,Shangla,Shangla,NA-10,Safeer Khan,Independent,121,0,0,0,0,34.27 %
93,Shangla,Shangla,NA-10,Said Fareen,Independent,247,0,0,0,0,34.27 %
94,Shangla,Shangla,NA-10,Waqar Ahmad Khan,Pakistan Tehreek-e-Insaf,27832,0,0,0,0,34.27 %
95,Kohistan,Kohistan-cum-Lower,NA-11,Afreen Khan,Muttahida Majlis-e-Amal Pakistan,15859,61700,1529,63229,154620,40.89 %
96,Kohistan,Kohistan-cum-Lower,NA-11,Mehboobullah Jan,Pakistan Muslim League,12627,0,0,0,0,40.89 %
97,Kohistan,Kohistan-cum-Lower,NA-11,Syed Gul Badshah,Independent,4487,0,0,0,0,40.89 %
98,Kohistan,Kohistan-cum-Lower,NA-11,Haji Misar Khan,Pakistan Muslim League (N),33,0,0,0,0,40.89 %
99,Kohistan,Kohistan-cum-Lower,NA-11,Muhammad Naseer,Independent,26,0,0,0,0,40.89 %
100,Kohistan,Kohistan-cum-Lower,NA-11,Malak Nor Wali Shah,Pakistan Peoples Party Parliamentarians,4185,0,0,0,0,40.89 %
101,Kohistan,Kohistan-cum-Lower,NA-11,Muhammad Yaseen,Independent,27,0,0,0,0,40.89 %
102,Kohistan,Kohistan-cum-Lower,NA-11,Dost Muhammad Shakir,Independent,14148,0,0,0,0,40.89 %
103,Kohistan,Kohistan-cum-Lower,NA-11,Juma Din,Pak Sarzameen Party,17,0,0,0,0,40.89 %
104,Kohistan,Kohistan-cum-Lower,NA-11,Abdul Qayum,Independent,194,0,0,0,0,40.89 %
105,Kohistan,Kohistan-cum-Lower,NA-11,Said Jan,Independent,111,0,0,0,0,40.89 %
106,Kohistan,Kohistan-cum-Lower,NA-11,Haji Mir Dad,Independent,32,0,0,0,0,40.89 %
107,Kohistan,Kohistan-cum-Lower,NA-11,Shehzad Latif,Independent,66,0,0,0,0,40.89 %
108,Kohistan,Kohistan-cum-Lower,NA-11,Aurang Zeb,Pakistan Tehreek-e-Insaf,9584,0,0,0,0,40.89 %
109,Kohistan,Kohistan-cum-Lower,NA-11,Sher Baz,Independent,26,0,0,0,0,40.89 %
110,Kohistan,Kohistan-cum-Lower,NA-11,Noor Ul Amin,Qaumi Watan Party,183,0,0,0,0,40.89 %
111,Kohistan,Kohistan-cum-Lower,NA-11,Bakht Jahan,Allah-o-Akbar Tehreek,95,0,0,0,0,40.89 %
112,Battagram,Battagram,NA-12,Muhammad Nawaz Khan,Pakistan Tehreek-e-Insaf,34270,88188,3455,91643,258155,35.5 %
113,Battagram,Battagram,NA-12,Rasheed Ahmed,Independent,11791,0,0,0,0,35.5 %
114,Battagram,Battagram,NA-12,Saeed Ahmed,Independent,3356,0,0,0,0,35.5 %
115,Battagram,Battagram,NA-12,Misbah Ullah Babar,Awami National Party,990,0,0,0,0,35.5 %
116,Battagram,Battagram,NA-12,Rustam Khan,Qaumi Watan Party,536,0,0,0,0,35.5 %
117,Battagram,Battagram,NA-12,Sabir Hussain Shah,Pakistan Muslim League,937,0,0,0,0,35.5 %
118,Battagram,Battagram,NA-12,Muhammad Yousaf,Muttahida Majlis-e-Amal Pakistan,23881,0,0,0,0,35.5 %
119,Battagram,Battagram,NA-12,Sardar Malik Jan,Pakistan Peoples Party Parliamentarians,12427,0,0,0,0,35.5 %
120,Mansehra,Mansehra-I,NA-13,Saleh Muhammad,Independent,109262,253554,7600,261154,526974,59.66 %
121,Mansehra,Mansehra-I,NA-13,Aamir Shahzad,Tehreek-e-Labbaik Pakistan,4731,0,0,0,0,59.66 %
122,Mansehra,Mansehra-I,NA-13,Sardar Shah JehanYousaf,Pakistan Muslim League (N),107808,0,0,0,0,59.66 %
123,Mansehra,Mansehra-I,NA-13,Nargis Ali,Pakistan Muslim League,588,0,0,0,0,59.66 %
124,Mansehra,Mansehra-I,NA-13,Muhammad Gulfam Swati,Independent,202,0,0,0,0,59.66 %
125,Mansehra,Mansehra-I,NA-13,Afsar Khan,Independent,291,0,0,0,0,59.66 %
126,Mansehra,Mansehra-I,NA-13,Muhammad Baseer Khan,Muttahida Majlis-e-Amal Pakistan,19716,0,0,0,0,59.66 %
127,Mansehra,Mansehra-I,NA-13,Ambereen Ahsan,Independent,376,0,0,0,0,59.66 %
128,Mansehra,Mansehra-I,NA-13,Iffat Kalsoom,Awami National Party,183,0,0,0,0,59.66 %
129,Mansehra,Mansehra-I,NA-13,Muhammad Banaris,Independent,482,0,0,0,0,59.66 %
130,Mansehra,Mansehra-I,NA-13,Sardar Muhammad Sultan,Independent,5459,0,0,0,0,59.66 %
131,Mansehra,Mansehra-I,NA-13,Abdul Salam,Humdardan-e-Watan Pakistan,142,0,0,0,0,59.66 %
132,Mansehra,Mansehra-I,NA-13,Samar Islam,Independent,3544,0,0,0,0,59.66 %
133,Mansehra,Mansehra-I,NA-13,Muhammad Javed,Pak Sarzameen Party,751,0,0,0,0,59.66 %
134,Mansehra,Mansehra-cum-Torghar,NA-14,Muhammad Sajjad,Pakistan Muslim League (N),74889,203976,8033,212009,510931,41.49 %
135,Mansehra,Mansehra-cum-Torghar,NA-14,Muhammad Wajid khan,Independent,362,0,0,0,0,41.49 %
136,Mansehra,Mansehra-cum-Torghar,NA-14,Muhammad Asif,Qaumi Watan Party,4922,0,0,0,0,41.49 %
137,Mansehra,Mansehra-cum-Torghar,NA-14,Zar Gul Khan,Pakistan Tehreek-e-Insaf,59638,0,0,0,0,41.49 %
138,Mansehra,Mansehra-cum-Torghar,NA-14,Kifayatullah,Muttahida Majlis-e-Amal Pakistan,45449,0,0,0,0,41.49 %
139,Mansehra,Mansehra-cum-Torghar,NA-14,AHMED SHERYAR KHAN,Independent,972,0,0,0,0,41.49 %
140,Mansehra,Mansehra-cum-Torghar,NA-14,Qazi Tayyab Shehzad,Tehreek-e-Labbaik Pakistan,6290,0,0,0,0,41.49 %
141,Mansehra,Mansehra-cum-Torghar,NA-14,Fakhar uz zaman khan,Pakistan Muslim League,7182,0,0,0,0,41.49 %
142,Mansehra,Mansehra-cum-Torghar,NA-14,Muhammad Aqeel Khan Durrani,Allah-o-Akbar Tehreek,713,0,0,0,0,41.49 %
143,Mansehra,Mansehra-cum-Torghar,NA-14,Roshan Zaman,Independent,3559,0,0,0,0,41.49 %
144,Abbottabad,Abbottabad-I,NA-15,Murtaza Javed Abbasi,Pakistan Muslim League (N),95340,234157,7712,241869,478336,50.56 %
145,Abbottabad,Abbottabad-I,NA-15,Nusrat Anjum,Pak Sarzameen Party,377,0,0,0,0,50.56 %
146,Abbottabad,Abbottabad-I,NA-15,Sardar Muhammad Iqbal Khan,Qaumi Watan Party,1789,0,0,0,0,50.56 %
147,Abbottabad,Abbottabad-I,NA-15,Sardar Gohar Zaman Khan,Independent,5006,0,0,0,0,50.56 %
148,Abbottabad,Abbottabad-I,NA-15,Ayaz Khan Jadoon,Pakistan Rah-e-Haq Party,2307,0,0,0,0,50.56 %
149,Abbottabad,Abbottabad-I,NA-15,Muhammad Asghar Shah,Independent,1024,0,0,0,0,50.56 %
150,Abbottabad,Abbottabad-I,NA-15,Zulfiqar Javed,Independent,218,0,0,0,0,50.56 %
151,Abbottabad,Abbottabad-I,NA-15,Sardar Muhammad Yaqoob,Independent,30305,0,0,0,0,50.56 %
152,Abbottabad,Abbottabad-I,NA-15,Sameen Riaz Abbasi,Pakistan Justice & Democratic Party,819,0,0,0,0,50.56 %
153,Abbottabad,Abbottabad-I,NA-15,Sardar Manzoor Mumtaz Abbasi,Pakistan Peoples Party Parliamentarians,1007,0,0,0,0,50.56 %
154,Abbottabad,Abbottabad-I,NA-15,Ali Asghar Khan,Pakistan Tehreek-e-Insaf,81845,0,0,0,0,50.56 %
155,Abbottabad,Abbottabad-I,NA-15,Makhdoom Arif Hussain Kazmi,Tehreek-e-Labbaik Pakistan,6867,0,0,0,0,50.56 %
156,Abbottabad,Abbottabad-I,NA-15,Fazal ur Rehman,Majlis-e-Wahdat-e-Muslimeen Pakistan,7253,0,0,0,0,50.56 %
157,Abbottabad,Abbottabad-II,NA-16,Ali Khan Jadoon,Pakistan Tehreek-e-Insaf,85203,175228,4376,179604,360392,49.84 %
158,Abbottabad,Abbottabad-II,NA-16,Ayaz Khan Jadoon,Pakistan Rah-e-Haq Party,7896,0,0,0,0,49.84 %
159,Abbottabad,Abbottabad-II,NA-16,Bilal Saddique,Independent,201,0,0,0,0,49.84 %
160,Abbottabad,Abbottabad-II,NA-16,Jamil Hussain,Qaumi Watan Party,2353,0,0,0,0,49.84 %
161,Abbottabad,Abbottabad-II,NA-16,Javed Khan,Independent,281,0,0,0,0,49.84 %
162,Abbottabad,Abbottabad-II,NA-16,Mohabbat Khan,Pakistan Muslim League (N),54879,0,0,0,0,49.84 %
163,Abbottabad,Abbottabad-II,NA-16,Muhammad Asghar Shah,Independent,254,0,0,0,0,49.84 %
164,Abbottabad,Abbottabad-II,NA-16,Muhammad Irshad,Awami National Party,521,0,0,0,0,49.84 %
165,Abbottabad,Abbottabad-II,NA-16,Muhammad Rashid,Independent,236,0,0,0,0,49.84 %
166,Abbottabad,Abbottabad-II,NA-16,Muhammad Rohail,Independent,1468,0,0,0,0,49.84 %
167,Abbottabad,Abbottabad-II,NA-16,Muhammad Saeed Khan,Muttahida Majlis-e-Amal Pakistan,4147,0,0,0,0,49.84 %
168,Abbottabad,Abbottabad-II,NA-16,Muhammad Waqas,Tehreek-e-Labbaik Pakistan,3064,0,0,0,0,49.84 %
169,Abbottabad,Abbottabad-II,NA-16,Murad Sher,Independent,376,0,0,0,0,49.84 %
170,Abbottabad,Abbottabad-II,NA-16,Rizwan Khan,Independent,465,0,0,0,0,49.84 %
171,Abbottabad,Abbottabad-II,NA-16,Sardar Maqsood Ayub,Independent,836,0,0,0,0,49.84 %
172,Abbottabad,Abbottabad-II,NA-16,Shouket Ali Tanoli,Independent,12611,0,0,0,0,49.84 %
173,Abbottabad,Abbottabad-II,NA-16,Syed Faisal Hussain Shah Gallani,Independent,275,0,0,0,0,49.84 %
174,Abbottabad,Abbottabad-II,NA-16,Syed Saeed Khalid,Independent,162,0,0,0,0,49.84 %
175,Haripur,Haripur,NA-17,Omar Ayub Khan,Pakistan Tehreek-e-Insaf,172609,334580,8862,343442,657648,52.22 %
176,Haripur,Haripur,NA-17,Babar Nawaz Khan,Pakistan Muslim League (N),132756,0,0,0,0,52.22 %
177,Haripur,Haripur,NA-17,Farooq Shah,Muttahida Majlis-e-Amal Pakistan,3728,0,0,0,0,52.22 %
178,Haripur,Haripur,NA-17,Habib Ullah,Independent,973,0,0,0,0,52.22 %
179,Haripur,Haripur,NA-17,Irum Fatima,Awami National Party,2592,0,0,0,0,52.22 %
180,Haripur,Haripur,NA-17,Malik Shakeel Ahmad,Allah-o-Akbar Tehreek,2174,0,0,0,0,52.22 %
181,Haripur,Haripur,NA-17,Muhamamd Fiaz,Tehreek Jawanan Pakistan,451,0,0,0,0,52.22 %
182,Haripur,Haripur,NA-17,Muhammad Zubair,Tehreek-e-Labbaik Pakistan,9627,0,0,0,0,52.22 %
183,Haripur,Haripur,NA-17,Qazi Atiq Ur Rehman,Pakistan Falah Party,831,0,0,0,0,52.22 %
184,Haripur,Haripur,NA-17,Raja Qaisar Ali,Independent,290,0,0,0,0,52.22 %
185,Haripur,Haripur,NA-17,Rizwan Saeed Mughal,Independent,5033,0,0,0,0,52.22 %
186,Haripur,Haripur,NA-17,Shaista Naz,Pakistan Peoples Party Parliamentarians,2933,0,0,0,0,52.22 %
187,Haripur,Haripur,NA-17,Syed Hamid Shah,Pakistan Muslim League,382,0,0,0,0,52.22 %
188,Haripur,Haripur,NA-17,Wakalat Khan,Independent,201,0,0,0,0,52.22 %
189,Swabi,Swabi-I,NA-18,Asad Qaiser,Pakistan Tehreek-e-Insaf,78970,187543,7285,194828,449012,43.39 %
190,Swabi,Swabi-I,NA-18,MUHAMMAD TARIQ,Independent,521,0,0,0,0,43.39 %
191,Swabi,Swabi-I,NA-18,MUHAMMAD RAZAQ,Independent,493,0,0,0,0,43.39 %
192,Swabi,Swabi-I,NA-18,RIZWAN ULLAH,Independent,2606,0,0,0,0,43.39 %
193,Swabi,Swabi-I,NA-18,MUHAMMAD ISLAM KHAN,Awami National Party,26472,0,0,0,0,43.39 %
194,Swabi,Swabi-I,NA-18,FAZAL AKRAM,Independent,3342,0,0,0,0,43.39 %
195,Swabi,Swabi-I,NA-18,KHALIL AHMAD,Jamiat Ulma-e-Islam Nazryati Pakistan,5960,0,0,0,0,43.39 %
196,Swabi,Swabi-I,NA-18,Shams Ul Qamar,Independent,206,0,0,0,0,43.39 %
197,Swabi,Swabi-I,NA-18,SHAH NAWAZ KHANZADA,Independent,5923,0,0,0,0,43.39 %
198,Swabi,Swabi-I,NA-18,FAZAL ALI,Muttahida Majlis-e-Amal Pakistan,34217,0,0,0,0,43.39 %
199,Swabi,Swabi-I,NA-18,MASOOD JABBAR,Qaumi Watan Party,3337,0,0,0,0,43.39 %
200,Swabi,Swabi-I,NA-18,KHALID MEHMOOD,Awami Workers Party,832,0,0,0,0,43.39 %
201,Swabi,Swabi-I,NA-18,SAJJAD AHMAD,Pakistan Muslim League (N),24664,0,0,0,0,43.39 %
202,Swabi,Swabi-II,NA-19,Usman Khan,Pakistan Tehreek-e-Insaf,83903,203707,8023,211730,463621,45.67 %
203,Swabi,Swabi-II,NA-19,Atta Ul Haq,Muttahida Majlis-e-Amal Pakistan,31373,0,0,0,0,45.67 %
204,Swabi,Swabi-II,NA-19,Ibadullah Khan,Pakistan Muslim League (N),13977,0,0,0,0,45.67 %
205,Swabi,Swabi-II,NA-19,Kashif Ahmad,Pakistan Muslim League,163,0,0,0,0,45.67 %
206,Swabi,Swabi-II,NA-19,Muhammad Naeem,Pakistan Peoples Party Parliamentarians,16158,0,0,0,0,45.67 %
207,Swabi,Swabi-II,NA-19,Shahid Khan,Awami Workers Party,1167,0,0,0,0,45.67 %
208,Swabi,Swabi-II,NA-19,Shehazad Ali Khan,Tehreek Jawanan Pakistan,2404,0,0,0,0,45.67 %
209,Swabi,Swabi-II,NA-19,Syed Khalid,Qaumi Watan Party,1276,0,0,0,0,45.67 %
210,Swabi,Swabi-II,NA-19,Waris Khan,Awami National Party,53286,0,0,0,0,45.67 %
211,Mardan,Mardan-I,NA-20,Mujahid Ali,Pakistan Tehreek-e-Insaf,78140,187360,7075,194435,430538,45.16 %
212,Mardan,Mardan-I,NA-20,Akhtar Nawaz,Pakistan Muslim League (N),5355,0,0,0,0,45.16 %
213,Mardan,Mardan-I,NA-20,Ataur Rahman,Muttahida Majlis-e-Amal Pakistan,28840,0,0,0,0,45.16 %
214,Mardan,Mardan-I,NA-20,Gul Nawaz Khan,Awami National Party,38713,0,0,0,0,45.16 %
215,Mardan,Mardan-I,NA-20,Nawabzada Khwaja Muhammad Khan Hoti,Pakistan Peoples Party Parliamentarians,36312,0,0,0,0,45.16 %
216,Mardan,Mardan-II,NA-21,Amir Haider Azam Khan,Awami National Party,78911,186797,5790,192687,419713,45.89 %
217,Mardan,Mardan-II,NA-21,Muhammad Atif,Pakistan Tehreek-e-Insaf,78878,0,0,0,0,45.89 %
218,Mardan,Mardan-II,NA-21,Muhammad Said,Pakistan Freedom Movement,646,0,0,0,0,45.89 %
219,Mardan,Mardan-II,NA-21,Mukhtiar,Independent,486,0,0,0,0,45.89 %
220,Mardan,Mardan-II,NA-21,Shuja Ul Mulk,Muttahida Majlis-e-Amal Pakistan,18361,0,0,0,0,45.89 %
221,Mardan,Mardan-II,NA-21,Syed Abid Ali Shah,Pakistan Peoples Party Parliamentarians,8616,0,0,0,0,45.89 %
222,Mardan,Mardan-III,NA-22,Ali Muhammad,Pakistan Tehreek-e-Insaf,58577,195463,5594,201057,389688,51.59 %
223,Mardan,Mardan-III,NA-22,Shoaib Alam Khan,Pakistan Peoples Party Parliamentarians,13477,0,0,0,0,51.59 %
224,Mardan,Mardan-III,NA-22,Malik Aman Khan,Awami National Party,27104,0,0,0,0,51.59 %
225,Mardan,Mardan-III,NA-22,Azmat Ali,Pakistan Muslim League(Z),588,0,0,0,0,51.59 %
226,Mardan,Mardan-III,NA-22,Jamshid Khan,Pakistan Muslim League (N),36625,0,0,0,0,51.59 %
227,Mardan,Mardan-III,NA-22,Muhammad Qasam,Muttahida Majlis-e-Amal Pakistan,56318,0,0,0,0,51.59 %
228,Mardan,Mardan-III,NA-22,Ihsan Ullah,Tehreek-e-Labbaik Pakistan,2774,0,0,0,0,51.59 %
229,Charsadda,Charsadda-I,NA-23,Anwar Taj,Pakistan Tehreek-e-Insaf,59371,169290,6779,176069,417386,42.18 %
230,Charsadda,Charsadda-I,NA-23,Aftab Ahmad Khan Sherpao,Qaumi Watan Party,33561,0,0,0,0,42.18 %
231,Charsadda,Charsadda-I,NA-23,Begum Tahira Bukhari,Pakistan Muslim League (N),1260,0,0,0,0,42.18 %
232,Charsadda,Charsadda-I,NA-23,Gulzar Ahmad Khan,Awami National Party,18433,0,0,0,0,42.18 %
